TimeStamp, Model Name, Event Details, CPU Usage(%), RAM(%)
2022-10-21 12:13:38, Head Pose, Head Turned Right, 57.25, 90.1
2022-10-21 12:13:39, Head Pose, Head Turned Right, 57.25, 90.1
2022-10-21 12:13:42, Head Pose, Head Turned Right, 53.75, 90.4
2022-10-21 12:13:43, Head Pose, Head Turned Right, 53.75, 90.5
2022-10-21 12:13:43, Head Pose, Head Turned Right, 53.75, 90.5
2022-10-21 12:13:45, Head Pose, Head Turned up, 53.75, 90.4
2022-10-21 12:13:46, Head Pose, Head Turned Right, 55.375, 90.4
2022-10-21 12:13:54, Eye Tracking, Eyes Looking up, 52.0, 90.4
2022-10-21 12:13:55, Head Pose, Head Turned Right, 52.0, 90.4
2022-10-21 12:13:55, Head Pose, Head Turned Right, 52.0, 90.4
2022-10-21 12:13:56, Mouth Opening Detection, Mouth Opened, 52.0, 90.4
2022-10-21 12:13:56, Mouth Opening Detection, Mouth Opened, 58.875, 90.5
2022-10-21 12:13:57, Mouth Opening Detection, Mouth Opened, 58.875, 90.5
2022-10-21 12:13:57, Head Pose, Head Turned Down, 58.875, 90.5
2022-10-21 12:13:57, Mouth Opening Detection, Mouth Opened, 58.875, 90.5
2022-10-21 12:13:57, Head Pose, Head Turned up, 58.875, 90.5
2022-10-21 12:14:00, Head Pose, Head Turned Right, 58.875, 90.5
2022-10-21 12:14:00, Head Pose, Head Turned Right, 58.875, 90.5
2022-10-21 12:14:01, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:01, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:02, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:02, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:03, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:04, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:04, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:05, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:05, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:06, Head Pose, Head Turned Right, 54.125, 90.5
2022-10-21 12:14:06, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:07, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:07, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:08, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:08, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:09, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:10, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:10, Head Pose, Head Turned Right, 54.75, 90.5
2022-10-21 12:14:11, Head Pose, Head Turned Right, 50.375, 90.5
2022-10-21 12:14:11, Head Pose, Head Turned Right, 50.375, 90.4
2022-10-21 12:14:12, Head Pose, Head Turned Right, 50.375, 90.4
2022-10-21 12:14:14, Object Detection, More than one person detected, 50.375, 90.4
2022-10-21 12:14:14, Head Pose, Head Turned Right, 50.375, 90.4
2022-10-21 12:14:15, Head Pose, Head Turned left, 50.375, 90.4
2022-10-21 12:14:16, Head Pose, Head Turned left, 50.375, 90.4
2022-10-21 12:14:16, Head Pose, Head Turned left, 54.37499999999999, 90.4
2022-10-21 12:14:17, Head Pose, Head Turned left, 54.37499999999999, 90.4
2022-10-21 12:14:18, Object Detection, More than one person detected, 54.37499999999999, 90.4
